Harry O. Hoyt	29250	0	
Ann Hui	123199	78	
Raman Hui	12099	7	
Andr� Hunebelle	19639	0	
Simon Hunter	77658	4	
Kon Ichikawa	97205	46	
Sang-soo Im	132452	24	
Sh�hei Imamura	20025	46	
Hiroshi Inagaki	108012	3	
Otar Iosseliani	40260	34	
Katsuhito Ishii	107668	12	
Sogo Ishii	144014	5	
Isidore Isou	237071	0	
Steve James	55271	0	
Derek Jarman	86290	20	
Norman Jewison	13563	50	
Zhangke Jia	24011	77	
Alejandro Jodorowsky	55119	20	
Rian Johnson	67367	48	
Pierre Jolivet	21504	13	
L.Q. Jones	8262	5	
Nathan Juran	44878	4	
Karel Kachyna	588925	22	
Marco Kalantari	1387074	1	
Mikhail Kalatozov	108764	6	
Piotr Kamler	1199822	9	
Anurag Kashyap	85670	60	
Mathieu Kassovitz	2406	24	
Leonard Kastle	64214	0	
Philip Kaufman	648	30	
Aki Kaurism�ki	16767	86	
Yoshiaki Kawajiri	56339	2	
Jerzy Kawalerowicz	40615	16	
Naomi Kawase	20658	46	
Abdellatif Kechiche	17458	84	
Robert Kenner	95687	18	
Jennifer Kent	164554	39	
Ji-woon Kim	69081	48	
Teinosuke Kinugasa	213471	6	
C�dric Klapisch	17520	28	
Randal Kleiser	8876	4	
Nicolas Klotz	545427	9	
Brian Knappenberger	1102384	11	
Masaki Kobayashi	76978	26	
Satoshi Kon	40333	23	
Zoltan Korda	65852	8	
Hirokazu Koreeda	25645	86	
Baltasar Korm�kur	67813	54	
Ted Kotcheff	16544	11	
Marek Koterski	228086	7	
Eiichi Kudo	227630	2	
Kiyoshi Kurosawa	26882	48	
Marcel L'Herbier	143353	4	
Gregory La Cava	74659	4	
David LaChapelle	23590	4	
Ren� Laloux	80260	6	
Dante Lam	81220	27	
Ringo Lam	26767	7	
Albert Lamorisse	78185	12	
Yorgos Lanthimos	122423	72	
Claude Lanzmann	127491	17	
Brian Large	113689	3	
Arnaud Larrieu	144782	12	
Wai-keung Lau	65994	21	
Georges Lautner	18563	4	
Ma�wenn	64210	16	
Chang-dong Lee	96657	55	
Doo-yong Lee	994289	6	
Claude Lelouch	16862	41	
Paul Leni	48055	0	
Robert Lepage	38527	26	
Mervyn LeRoy	9054	18	
Richard Lester	10586	15	
Louis Leterrier	18865	0	
Henry Levin	39743	1	
Shawn Levy	17825	13	
Albert Lewin	30252	2	
Jonathan Liebesman	66739	5	
Jean-Paul Lilienfeld	82289	4	
Kevin Lima	15775	5	
Doug Liman	11694	9	
Jean Pierre Limosin	240295	1	
Steven Lisberger	12859	1	
Chia-Liang Liu	26775	6	
Harold Lloyd	88953	4	
Ken Loach	15488	168	
Konstantin Lopushansky	88782	18	
Phil Lord	107446	24	
Joseph Losey	39009	17	
Ernst Lubitsch	2428	8	
Georges Lucas	25193	0	
Ranald MacDougall	31843	4	
Juliusz Machulski	107639	17	
Guy Maddin	97579	40	
Andr� Malraux	1204877	1	
Rouben Mamoulian	29595	10	
Anthony Mann	40199	7	
Olivier Marchal	52342	2	
George Marshall	19093	4	
Neil Marshall	57581	21	
Steve Martino	71729	7	
Mori Masaki	146919	1	
Bill Mason	93168	6	
Yasuz� Masumura	81273	2	
Les Mayfield	56911	3	
Tim McCanlies	77919	7	
Leo McCarey	30008	18	
Tom McCarthy	17867	150	
Bruce McDonald	55189	50	
Ross McElwee	126620	15	
Adam McKay	55710	49	
Norman Z. McLeod	82389	1	
Ursula Meier	72299	32	
Jean-Pierre Melville	3831	3	
Jir� Menzel	11720	40	
William Cameron Menzies	11489	5	
Oscar Micheaux	253152	2	
Roger Michell	7017	22	
Jim Mickle	87082	24	
Radu Mihaileanu	20430	42	
Takashi Miike	17282	74	
Lewis Milestone	2000	7	
Bennett Miller	5345	36	
Vincente Minnelli	13980	23	
Kenji Misumi	80702	0	
Catalin Mitulescu	125282	23	
Hayao Miyazaki	608	105	
Mario Monicelli	32375	55	
Shaun Monson	550041	0	
Michael Moore	17087	72	
Rich Moore	165787	30	
David Moreau	1151448	0	
Dror Moreh	1085923	10	
Pierre Morel	35453	0	
Nanni Moretti	69488	97	
Greg Mottola	54733	12	
Vladimir Motyl	98838	1	
Luc Moullet	236634	5	
Emmanuel Mouret	65569	6	
Jean-Marc Moutout	115270	7	
Robert Mulligan	8482	16	
Lance Mungia	116653	3	
Cristian Mungiu	20657	77	
Andrzej Munk	238433	10	
Jimmy T. Murakami	67268	5	
Shunichi Nagasaki	77873	7	
Tetsuya Nakashima	131186	19	
Mikio Naruse	125690	7	
Vincenzo Natali	5877	28	
Cristian Nemescu	1037092	21	
Calin Peter Netzer	1137536	32	
Fred Niblo	108106	1	
Andrew Niccol	8685	22	
Nicholas Ray	123503	4	
Sergiu Nicolaescu	122740	6	
Christophe Nolan	525	235	
Stephen Norrington	10808	4	
Petter N�ss	49555	34	
Gavin O'Connor	77003	5	
Arch Oboler	103360	2	
Otomo	230532	0	
Kihachi Okamoto	85309	7	
Hiroyuki Okiura	12178	8	
Ermanno Olmi	27213	63	
Marcel Oph�ls	19789	15	
Max Ophuls	14353	8	
Mamoru Oshii	12180	23	
Nagisa _shima	46230	19	
F.J. Ossang	1033810	7	
Fran�ois Ozon	4387	91	
Yasujiro Ozu	95501	14	
Georg Wilhelm Pabst 	13899	8	
Jean Painlev�	1045486	0	
Gleb Panfilov	262925	19	
Rithy Pan	129896	67	
Paolo & Vittorio Taviani	1142808	0	
Sergei Parajanov	95066	10	
Chan-wook Park 	10099	94	
Gordon Parks	6558	2	
Frank Pavich	1172231	17	
Pawel Pawlikowski	64194	74	
Roger Vadim	53767	2	
Arthur Penn	6448	25	
D.A. Pennebaker	21113	19	
David Webb Peoples	7191	19	
Georges Perec	545583	2	
Elio Petri	95456	20	
Maurice Pialat	16988	18	
Luc Picard	95956	11	
Irving Pichel	20370	5	
Lucian Pintilie	592762	12	
Marcelo Pi�eyro	87014	35	
Michele Placido	25819	58	
Bruno Podalydes	21769	14	
Laura Poitras	220691	59	
Gillo Pontecorvo	90694	21	
Constantin Popescu	122778	12	
Ion Popescu-Gopo	376567	5	
Otto Preminger & Rouben Mamoulian	834	22	
D. Kerry Prior	588219	4	
Yakov Protazanov	1085341	0	
Vsevolod Pudovkin	144821	7	
Lynne Ramsay	83287	63	
Jean Paul Rappeneau	25950	18	
Brett Ratner	11091	10	
Carol Reed	15378	18	
Peyton Reed	59026	5	
Matt Reeves	32278	8	
Nicolas Winding Refn	21183	69	
Godfrey Reggio	68993	7	
Jason Reitman	52443	116	
Jean Renoir	11528	15	
Alain Resnais	11983	86	
Kevin Reynolds	8300	7	
Tony Richardson	32765	21	
Jean-Fran�ois Richet	58324	8	
W.D. Richter	18179	5	
Leni Riefenstahl	10139	6	
Dino Risi	57641	26	
Martin Ritt	18854	15	
Jacques Rivette	73153	27	
Alain Robbe-Grillet	34590	11	
Glauber Rocha	544845	9	
Martin Rosen	70663	4	
Stuart Rosenberg	13859	10	
Matt Ross	11154	21	
Roberto Rossellini	4410	24	
Roy Rowland	46307	1	
Raoul Ruiz	121585	46	
Josef Rusnak	15361	1	
David O. Russell	17883	115	
Anthony Russo	19271	10	
Stefan Ruzowitzky	15115	21	
Seung-wan Ryoo	86325	27	
Anders R�nnow Klarlund	88497	16	
Sabu	71784	1	
Leontine Sagan	58343	2	
Carlos Saldanha	5714	13	
Victor Salva	56349	8	
Mark Sandrich	30165	2	
Hugo Santiago	12639	1	
Esteban Sapir	113625	12	
Richard C. Sarafian	21544	1	
Wisit Sasanatieng	28233	12	
Kei'ichi Sato	86978	2	
Shinsuke Sato	144536	8	
Carlos Saura	96369	94	
Claude Sautet	20789	31	
Franklin J. Schaffner	13265	10	
Jerry Schatzberg	98199	11	
Richard Schenkman	76462	7	
Sebastian Schipper	3702	16	
John Schlesinger	19304	45	
Julian Schnabel	7482	51	
Ernest B. Schoedsack	3239	3	
Barbet Schroeder	23393	20	
Robert Schwentke	57270	6	
Pierre Sch�ller	56382	16	
George Seaton	24939	24	
William A. Seiter	108987	3	
Viorel Sergovici	31627	2	
Coline Serreau	35208	16	
Raoul Servais	132957	20	
Lowell Sherman	116186	0	
Kaneto Shind�	33727	40	
Masahiro Shinoda	133518	23	
Akihiko Shiota	80107	18	
M. Night Shyamalan	11614	44	
George Sidney	21506	20	
Don Siegel	14773	3	
Tarsem Singh	56512	10	
Robert Siodmak	5029	8	
Ramesh Sippy	85446	2	
Douglas Sirk	46712	11	
Victor Sj�str�m	8741	5	
Jerzy Skolimowski	43553	44	
Zack Snyder	15217	15	
