"951,015,636,517,605"	10828	"28,878,12"	68726	6.7
"69,491,095,983,586"	865	"28,878,12"	38356	6.1
"112,3,10959"	488	"12,28"	217	5.7
"96,313,414,767,482,900"	21198	"12,16,10751"	105864	6.6
"91,889,015,477"	59803	"16,12,35,10751,28,14"	62177	6.7
"17,306,620,641,372"	58189	"28,12,878"	188927	6.6
"6,007,467,072,754"	7	"1,610,751"	10681	7.8
"18897,9195,66"	11091	"28,35,80,53"	5174	6.1
"295,630,365,294"	6046	"28,12,878"	14161	5.6
"206,64,78311"	24	"16,18"	17979	6.6
"483,867,318,973"	9339	"878,14,28,12"	76757	5.2
"2,884,623,435,227,310"	11343	"28,12"	258489	5.5
"552,955,285,527"	5524	"12,10751,14"	411	6.7
"17,288,721,295,530"	9032	878	246655	6.4
"181,038,946,383"	525	"18,28,80,53"	155	8.2
"8,067,629,068,812"	12890	"16,35,10751,12"	14160	7.7
"4,141,936,819,274"	12080	"16,10751,12,878"	15512	6
"1,229,322,318,288"	15277	"28,878,12"	1726	7.4
"7,799,667,302,282"	1032	"12,18,10751"	44826	7
"8,945,288,811,181"	5174	"28,12,35,878,37"	8487	5.1
"13,361,826,910,727"	18878	"12,28,14"	1735	5.2
"234,352,288,892,404"	19769	"28,12,80,14,878"	297761	5.9
"1,685,812,304,495"	4499	"14,35,10751"	2698	5.3
"20,395,005,081"	11694	"28,878"	137113	7.6
"1,269,593,503,432"	8300	"12,28"	9804	5.9
"9,562,386,736,065"	7775	"12,28,53,878"	14869	5.6
"2,112,516,920,056,320"	12890	"18,35,16,10751"	150540	8
"153,214,147,342,282"	15277	"10751,12,18,14"	278927	6.7
"1,896,322,312,052"	15277	"12,28,878"	10138	6.6
"37,917,745,686,885"	228134	"12,14,18"	58595	5.8
"180,508,219,111,701"	1032536	"14,12,28,10751,10749"	102651	7
"64,765,121,333"	32278	"878,28,18,53"	119450	7.3
"22,997,685,066,442"	8965	"28,12,878,10749"	79698	4.8
"9,195,638,458,593"	239571	"18,28,12,14"	64686	5.9
"1,245,168,282,231"	19271	"28,12,878"	100402	7.6
"120,737,766,941"	64151	"35,12,14,16,10751"	10192	6
"1,461,520,181,055,230"	7087	"12,107,519,648,878"	158852	6.2
"8,209,366,580,515,510"	70238	"12,10751,16,28,35"	177572	7.8
"4,764,587,377,404"	165787	"10751,16,35,12"	82690	7.1
"2169,31,18286"	24	"12,16,10751,14"	5255	6.4
"9,606,647,858,984"	6046	"28,12,878"	47933	4.9
"2,426,417,276,449"	66193	"14,12,16,10751"	10191	7.5
"640,811,006,194"	7213	"28,53,878"	296	5.9
"869,154,353,073,457"	15218	"28,878,12"	118340	7.9
"83,002,181,310,297"	525	"12,18,878"	157336	8.1
"27,578,619,324,045"	525	"28,53,878,9648,12"	27205	8.1
"2,246,641,098,600,580,000"	77921	"28,12,18,27,878"	315011	6.5
"7,060,303,151,327"	108	"12,14,28"	49051	7
"12,835,176,478,167"	18878	"28,80,53"	9799	6.6
"3,063,287,112"	7467	"14,18,53,9648,10749"	4922	7.3
"17,288,721,295,530"	957	"28,878,12"	49538	7.1
"960,667,212,927,972"	10943	"28,12,878"	131634	6.6
"449,287,822,963"	12962	"14,12,28,35,18"	27022	5.8
"685,661,643,037"	5231	"12,28,18,53"	503	5.5
"76070,85,1813"	26205	14	241259	6.5
"776,120,736,941"	12098	"14,12,16,35,10751"	810	6
"528,517,770,011,107"	81850	"28,12,14"	68735	6.3
"1,223,786,110,076,510"	47005	"878,28,53,12"	87101	5.8
"5,526,552,711,108"	10781	"12,10751,14"	10140	6.2
"39,678,802,299"	865	"361,074,910,752"	676	6.6
"109,591,953,619,537"	865	"12,878,28"	1858	6.6
"72,466,557,611,701"	1152	"10752,36,28,12,18,10749"	1966	5.6
"109,801,098,910,990"	11343	"12,14,10751,9648"	675	7.4
"109,891,099,010,980"	10723	"12,14,10751"	674	7.5
"2,888,235,326,885"	36602	"14,28"	8960	6.2
"8,602,499,182,888"	10943	"18,27,28,53,878"	6479	6.9
"1281,1282,85"	510	"12,35,10751,14"	118	6.7
"65,108,727,962"	7930	"16,35,10751,14"	2062	7.5
"389,538,963,894"	525	"28,80,18"	272	7.5
"7,399,957,514,409"	18863	"10751,16"	10527	6.2
"92,738,877,399"	17825	"12,14,28,35,10751"	18360	5.9
"6,968,641,323,626"	13079	"12,28,53,878"	2080	6.2
"53,063,842,975"	9339	"12,28,53,878"	605	6.4
"4,046,222,161,119,390"	15774	"16,12,10751"	109445	7.3
"29,756,384,530"	9339	"12,28,53,878"	604	6.7
"5,247,456,891,606"	47005	"28,12,14"	76338	6.8
"329,225,246,885"	20629	"28,12,878,53"	76341	7.2
"3,130,618,786"	6159	"539,648"	13448	6.5
"5,247,456,891,606"	11181	"12,14,28"	10195	6.6
"76,594,569,108,891"	70238	"16,10751,12,35"	13053	6.3
"569,036,807,955"	84851	"14,28,12,10751,35"	19585	5.1
"3,896,657,315,469"	66739	12	57165	5.5
"8,512,831,160"	510	"35,14"	62213	5.7
"50,093,323,811,108"	9033	"28,12,53"	177677	7.1
"508,141,731,121"	4945	"18,27,53"	7978	5.5
"12,077,163,779,137"	44113	"10751,16,12,35"	5559	5.7
"44,831,170,170,851"	142312	"1,610,751"	49444	6.7
"611,868,421,588,816"	11614	"28,12,10751,14"	10196	4.7
"101,825,001,233"	15344	"12,28,53"	956	6.5
"12,502,538,673,134"	6046	"28,18,53"	117251	6.4
