Atom Egoyan	2014,1994,1994,1997,1997,1997,1997,1999,2005,2008,2008
Miguel Morayta	1954
Nana Dzhordzhadze	1987
Marie-Christine Questerbert	2000
Ousmane Sembene	2004,2005,2004
Sylvain Chomet	2003
Hans Weingartner	2004
Lina Chamie	2007
Marc Levin	1998
Robinson Devor	2007
Simão Cayatte	2011
Taylor Sheridan	2017,2017,2017
Jim Jarmusch	1986,2016,2016,2013,2008,2005,2005,2002,1999,1995,1993,1989,1989,1984
Laurent Larivière	2015,2015
Gérald Frydman	1976,1991,1984,1981,1976
Kirio Urayama	1962
Sérgio Machado	2005
Bruno Romy	2011
Zdravko Velimirović	1961
Bassek Ba Kobhio	2003
Daihachi Yoshida	2007,2007
Elie Wajeman	2012,2012
Erick Zonca	1998,1994
Jean-Gabriel Albicocco	1963
Dale Heslip	2003,2003,2003
Eva Ionesco	2011,2011
Miguel M. Delgado	1946
Ryan Gosling	2014,2014
Andrzej Munk	1960,1964,1964
Guy Green	1961
Kunitoshi Manda	2001,2004
David Lean	1946,1966,1949
Alain Resnais	2012,2009,1980,1980,1980,2009,1974,1959,2014
Sally Aitken	2017
Hallvar Witzø	2014,2014
Radu Muntean	2008,2010,2015
Robert D. Webb	1954
Walter Hill	1980
Charles Chauvel	1955
Humberto Solás	1982
Johnnie To	2005,2009
Sidney J. Furie	1965
Angela Schanelec	1998,2004
Fernanda Teixeira	2008
Juliet Berto	1981,1981
Kari Juusonen	2001,2001
Pierre Schöller	2011,2011,2008,2008
Sally Sussman Morina	2016,2016
Veit Helmer	1995
Jean-Henri Roger	1981
Pupi Avati	2003,1993,1991
Ethan Hawke	2001
Juliana Rojas	2007,2011,2011,2012,2012,2005
Anton Corbijn	2007,2007,2007,2007,2007,2007
Egon Günther	1975
Marcel Carné	1951
Barry Dignam	2001
Francis Reusser	1985
Hiroyuki Nakano	2006
Larry Clark	1995,1995
Marco van Geffen	2007
Frank Miller	2005
Jules Dassin	1957,1978,1960,1957,1955,1955
Meryll Hardt	2014
Adriano Celentano	1975
Agustí Villaronga	1989
Peter Sollett	2002,2002,2000
Vicky Jenson	2001,2001
Adolfo Celi	1951,1952
David Sandberg	2015,2015
Gian Carlo Menotti	1952,1952
Rudolf Mestdagh	1993
Damien Manivel	2012
Ramin Bahrani	2007
Stephen Hopkins	2004
François Dupeyron	2001
Bernard Taisant	1958,1958
David Fincher	2007
Frank Pavich	2013
Guillermo Rocamora	2008
Sean Durkin	2011,2011,2011,2010
José Antonio Nieves Conde	1951,1952
André Cayatte	1954,1952,1954,1954,1952,1955,1949
Kanu Behl	2014,2014
Fabienne Berthaud	2010
Jake Kasdan	1998
M.S. Sathyu	1974
Mario Craveri	1955,1955
Faith Hubley	1989,1975,1989,1978,1961,1980
Jack Kinney	1946
Thomas Clay	2008
Xavier Beauvois	2010,2010,2010,2010,1995,1995
Hassan Yektapanah	2000
Leos Carax	2012,2008,1999,1984,2012
Maria Steinmetz	2011
Joseph Cedar	2011,2011
Marco Bellocchio	2002,2002,1999,1997,1984,2006,2009,1980
Lola Doillon	2007,2007
Moufida Tlatli	1994
Gregorio Graziosi	2007
Nicolas Pariser	2013
Grigoriy Chukhray	1960,1957,1965,1957
Jacek Gasiorowski	1985
Pernilla August	1992
Stephan Elliott	1993
Jean Chapot	1972
Jerzy Kucia	1987
Matthias Müller	2006
Glenn Ficarra	2009,2009
Jean Mitry	1949
Pippa Bianco	2015
Anna Campion	1991
François Bel	1976,1970
