Michael Crichton	1998
Michael Crichton	1997
Michael Crichton	1996
Michael Crichton	1995
Franco Zeffirelli	1986
Franco Zeffirelli	1985
James L. Brooks	2017
James L. Brooks	2016
James L. Brooks	2015
James L. Brooks	2013
James L. Brooks	2012
James L. Brooks	2011
James L. Brooks	2010
James L. Brooks	2009
James L. Brooks	2008
James L. Brooks	2007
James L. Brooks	2006
James L. Brooks	2005
James L. Brooks	2004
James L. Brooks	2003
James L. Brooks	2002
James L. Brooks	2001
James L. Brooks	2000
James L. Brooks	1999
James L. Brooks	1998
James L. Brooks	1997
James L. Brooks	1996
James L. Brooks	1995
James L. Brooks	1992
James L. Brooks	1991
James L. Brooks	1990
James L. Brooks	1990
James L. Brooks	1989
James L. Brooks	1989
James L. Brooks	1988
James L. Brooks	1987
James L. Brooks	1983
James L. Brooks	1982
James L. Brooks	1981
James L. Brooks	1980
James L. Brooks	1979
James L. Brooks	1978
James L. Brooks	1977
James L. Brooks	1976
James L. Brooks	1975
James L. Brooks	1975
James L. Brooks	1974
James L. Brooks	1973
James L. Brooks	1972
James L. Brooks	1971
James L. Brooks	1971
John Patrick Shanley	2003
James Orr	1987
Bonnie Hunt	2004
Bonnie Hunt	2010
Ken Finkleman	1977
Robert Markowitz	1991
John Herzfeld	1998
John Herzfeld	1981
John Herzfeld	1981
Shari Springer Berman	2011
Paul Flaherty	1998
Paul Flaherty	1996
Paul Flaherty	1990
Paul Flaherty	1987
Paul Flaherty	1983
Paul Flaherty	1983
Paul Flaherty	1982
Paul Flaherty	1982
Ben Stiller	2013
Ben Stiller	2006
Ben Stiller	1993
Peter Chung	2011
David Zucker	1982
Michael Rymer	2009
Robert Duvall	2007
Robert Duvall	1997
Robert Duvall	1993
Robert Duvall	1989
Hugh Wilson	1990
Hugh Wilson	1988
Hugh Wilson	1988
Hugh Wilson	1982
Hugh Wilson	1981
Hugh Wilson	1980
Ken Kwapis	2007
Ken Kwapis	2001
Julian Jarrold	2013
Hank Braxtan	2007
Hank Braxtan	2017
Charles Jarrott	1995
David Winters	1970
David Winters	1968
Jerry Belson	1999
Jerry Belson	1998
Jerry Belson	1997
Jerry Belson	1997
Jerry Belson	1996
Jerry Belson	1990
Jerry Belson	1990
Jerry Belson	1989
Jerry Belson	1989
Jerry Belson	1988
Jerry Belson	1987
Jerry Belson	1972
Jerry Belson	1971
Marvin J. Chomsky	1988
Marvin J. Chomsky	1987
Marvin J. Chomsky	1986
Marvin J. Chomsky	1982
Marvin J. Chomsky	1981
Marvin J. Chomsky	1980
Marvin J. Chomsky	1978
Marvin J. Chomsky	1977
Kenneth Branagh	2009
Kenneth Branagh	2005
Kenneth Branagh	2002
Kenneth Branagh	2001
Betty Thomas	1996
Betty Thomas	1994
Betty Thomas	1993
Betty Thomas	1987
Betty Thomas	1986
Betty Thomas	1985
Betty Thomas	1984
Betty Thomas	1983
Betty Thomas	1982
Betty Thomas	1981
Phil Karlson	1960
Jim Mallon	1995
Jim Mallon	1994
Glenn A. Jordan	1994
Glenn A. Jordan	1993
Glenn A. Jordan	1993
Glenn A. Jordan	1991
Glenn A. Jordan	1988
Glenn A. Jordan	1987
Glenn A. Jordan	1986
Glenn A. Jordan	1981
Glenn A. Jordan	1979
Glenn A. Jordan	1975
Glenn A. Jordan	1975
Glenn A. Jordan	1966
Burt Brinckerhoff	1981
Burt Brinckerhoff	1980
Burt Brinckerhoff	1979
Burt Brinckerhoff	1974
Jack Smight	1962
Jack Smight	1959
Peter Werner	2007
Peter Werner	1996
Peter Werner	1987
Peter Werner	1986
Howard W. Koch	1980
Howard W. Koch	1978
Howard W. Koch	1977
Howard W. Koch	1974
George Clooney	2010
George Clooney	2010
George Clooney	1996
George Clooney	1995
Martyn Burke	1999
Richard Harris	1972
John Goldschmidt	1976
Piers Haggard	1991
Douglas McGrath	2016
Danny Cannon	2004
Danny Cannon	2003
Danny Cannon	2002
Scott Hicks	1994
Trey Parker	2017
Trey Parker	2016
Trey Parker	2015
Trey Parker	2014
Trey Parker	2013
Trey Parker	2011
Trey Parker	2010
Trey Parker	2009
Trey Parker	2008
Trey Parker	2007
Trey Parker	2006
Trey Parker	2005
Trey Parker	2004
Trey Parker	2002
Trey Parker	2000
Trey Parker	1998
Ted Demme	2004
Ted Demme	1999
Lucy Walker	2002
Lucy Walker	2001
Lucy Walker	2016
Lucy Walker	2014
Lucy Walker	2013
Lucy Walker	2003
Anthony Page	1975
Anthony Page	1974
John Blanchard	1983
John Blanchard	2000
