Directorid (bin),Directorname,Avg. Popularity
62410,Sammo Hung,7.077505112
63571,Wilson Yip,19.167377472
64194,Pawel Pawlikowski,8.602592707
64210,Ma�wenn,14.038702965
64754,Andrew Currie,5.244517803
64901,Gordon Chan,14.653717995
64992,Hsiao-Hsien Hou,8.142166138
65314,Giuseppe Tornatore,30.058263779
65452,Mike Leigh,6.422213173
66121,George Tillman Jr.,24.131006956
66728,Jonathan Glazer,16.230988979
66739,Jonathan Liebesman,54.011483955
66777,Bob Fosse,2.934275061
67367,Rian Johnson,28.297967434
67717,Michel Hazanavicius,29.943315506
67813,Baltasar Korm�kur,44.831098557
68212,Carroll Ballard,8.077482224
68519,Andrey Zvyagintsev,7.744165897
69371,Jean-Marc Vall�e,39.583576838
69797,Dean DeBlois,100.213912964
70100,Shinji Aramaki,14.726338387
70500,Tom Hooper,33.731351376
70703,Teddy Chan,7.386374474
71600,Seth Gordon,34.605486552
71729,Steve Martino,49.768981934
71797,Alex Gibney,0.748565018
71872,Jeff Nichols,18.859911084
72320,Xavier Beauvois,4.992475033
74058,Charles Ferguson,6.944282651
74396,Tomas Alfredson,33.649650574
74878,Tay Garnett,0.181299999
74907,Fabi�n Bielinsky,8.589355469
76462,Richard Schenkman,15.809921533
76998,James Marsh,37.757161617
77003,Gavin O'Connor,17.398381329
77147,John Erick Dowdle,25.884055376
77357,Rupert Wyatt,80.527810097
77919,Tim McCanlies,7.694143161
77965,Morten Tyldum,83.093219757
81850,Duncan Jones,56.153864543
82194,Neill Blomkamp,82.391588847
83287,Lynne Ramsay,11.892387509
83730,Jonathan English,12.317079544
84714,Juan Jos� Campanella,20.380208492
86270,Joseph Kosinski,70.746528625
87082,Jim Mickle,12.496260643
91252,Alex Rivera,4.624691010
91268,Ruben Fleischer,37.127085368
93911,Terence Davies,3.007816076
95687,Robert Kenner,15.017162323
96369,Carlos Saura,0.425550997
97579,Guy Maddin,0.552361012
100036,D.W. Griffith,3.232446909
107446,Phil Lord,55.356029510
116186,Lowell Sherman,0.622752011
116330,Patrick Creadon,0.906095982
116357,Scott Stewart,29.666265488
116653,Lance Mungia,1.892182946
118303,Nacho Vigalondo,19.029649734
121873,Debra Granik,20.834882736
122423,Yorgos Lanthimos,28.858238220
124747,Pierre Coffin,125.372489929
129894,Gareth Edwards,26.406000137
133398,Quentin Dupieux,9.108948708
135113,Andr� �vredal,12.982318878
136495,Damien Chazelle,192.528839111
137427,Denis Villeneuve,55.068701426
139098,Derek Cianfrance,31.138370514
142013,Gareth Evans,40.285095215
147021,S.S. Rajamouli,16.254032135
165787,Rich Moore,62.341072083
185438,Genndy Tartakovsky,39.943691293
229182,Andrew Leman,1.777148008
229931,Asghar Farhadi,12.049372673
231431,Thomas Lilti,2.651304007
556172,J.C. Chandor,30.809771220
558929,David Robert Mitchell,100.876792908
568322,Dan Trachtenberg,53.698684692
585161,David Oelhoffen,3.363972902
928915,David Gelb,20.304235458
934803,Josh Trank,51.315420151
1032536,Robert Stromberg,110.620643616
1044256,Lisanne Pajot,7.676677227
1056121,Ryan Coogler,39.370364189
1081445,Brandon Cronenberg,11.753553391
1085923,Dror Moreh,2.828303099
1117026,Ritesh Batra,14.017808914
1167470,Gary Shore,64.457946777
1448550,Sara Newens,0.523122013
